sample_id,sample,era,location,individual_key,K2,K3,K4,admixedness,max_prop,dominant_cluster,conflict_flag,missing_extraction,missing_library,missing_decode,admixedness_rank,tissue_subsampling_flag,tissue_subsampling_min_p,tissue_subsampling_min_metric,extraction_order_flag,extraction_order_min_p,extraction_order_min_metric,extraction_plate_flag,extraction_plate_min_p,library_plate_flag,library_plate_min_p,dilution_plate_flag,dilution_plate_min_p,index_duplicate_flag,seq_name_duplicate_flag,decode_mismatch_flag,generode_mismatch_flag,lab_notes_flag,lab_notes,evidence_count,evidence_sources,evidence_flag,admixedness_percentile,candidate_flag
OchACan021,OchACan021.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,OchACan021,0.0141751,9.93e-5,0.9857255,0.01427449999999996,0.9857255,K4,NA,FALSE,FALSE,FALSE,0.27075812274368233,TRUE,0,adj_abs_diff_mean,TRUE,0,adj_abs_diff_mean,TRUE,0.003,TRUE,0.003,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,5,tissue_subsampling;extraction_order;extraction_plate;library_plate;dilution_plate,TRUE,27.1,FALSE
OchACan022,OchACan022.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,OchACan022,0.1367264,0.8631737,1e-4,0.13682629999999996,0.8631737,K3,NA,FALSE,FALSE,FALSE,0.8375451263537906,TRUE,0,adj_abs_diff_mean,TRUE,0,adj_abs_diff_mean,TRUE,0.003,TRUE,0.003,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,5,tissue_subsampling;extraction_order;extraction_plate;library_plate;dilution_plate,TRUE,83.8,TRUE
OchACan023,OchACan023.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,OchACan023,0.1326623,0.8609269,0.0064108,0.13907309999999995,0.8609269,K3,NA,FALSE,FALSE,FALSE,0.8483754512635379,TRUE,0,adj_abs_diff_mean,TRUE,0,adj_abs_diff_mean,TRUE,0.003,TRUE,0.003,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,5,tissue_subsampling;extraction_order;extraction_plate;library_plate;dilution_plate,TRUE,84.8,TRUE
OchACan024,OchACan024.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,OchACan024,0.1074344,0.8290882,0.0634773,0.17091179999999995,0.8290882,K3,NA,FALSE,FALSE,FALSE,0.9097472924187726,TRUE,0,adj_abs_diff_mean,TRUE,0,adj_abs_diff_mean,TRUE,0.003,TRUE,0.003,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,4,tissue_subsampling;extraction_order;extraction_plate;library_plate,TRUE,91,TRUE
OchACat001,OchACat001.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,OchACat001,0.0615922,0.9383077,1e-4,0.06169230000000003,0.9383077,K3,NA,FALSE,FALSE,FALSE,0.4657039711191336,FALSE,NA,NA,TRUE,0.049,adj_abs_diff_mean,TRUE,0,TRUE,0,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3,extraction_order;extraction_plate;library_plate,TRUE,46.6,FALSE
OchACat002,OchACat002.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,OchACat002,0.0711937,0.9287066,9.97e-5,0.07129339999999995,0.9287066,K3,NA,FALSE,FALSE,FALSE,0.516245487364621,FALSE,0.19,period2_corr,TRUE,0.049,adj_abs_diff_mean,TRUE,0,TRUE,0,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3,extraction_order;extraction_plate;library_plate,TRUE,51.6,FALSE
OchACat003,OchACat003.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,OchACat003,0.0688472,0.9310529,1e-4,0.06894710000000004,0.9310529,K3,NA,FALSE,FALSE,FALSE,0.5018050541516246,FALSE,0.19,period2_corr,TRUE,0.049,adj_abs_diff_mean,TRUE,0,TRUE,0,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3,extraction_order;extraction_plate;library_plate,TRUE,50.2,FALSE
OchACat004,OchACat004.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,OchACat004,0.0757802,0.9172292,0.0069906,0.08277080000000003,0.9172292,K3,NA,FALSE,FALSE,FALSE,0.5992779783393501,FALSE,0.19,period2_corr,TRUE,0.049,adj_abs_diff_mean,TRUE,0,TRUE,0,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3,extraction_order;extraction_plate;library_plate,TRUE,59.9,FALSE
OchACat005,OchACat005.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,OchACat005,0.1138315,0.88607,9.85e-5,0.11392999999999998,0.88607,K3,NA,FALSE,FALSE,FALSE,0.740072202166065,FALSE,0.19,period2_corr,TRUE,0.049,adj_abs_diff_mean,TRUE,0,TRUE,0,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3,extraction_order;extraction_plate;library_plate,TRUE,74,FALSE
OchACat006,OchACat006.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,OchACat006,0.08552359999999999,0.9143772,9.93e-5,0.0856228,0.9143772,K3,NA,FALSE,FALSE,FALSE,0.6137184115523465,FALSE,0.19,period2_corr,TRUE,0.049,adj_abs_diff_mean,TRUE,0,TRUE,0,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,4,extraction_order;extraction_plate;library_plate;dilution_plate,TRUE,61.4,FALSE
