sample_id,sample,era,location,cluster,prop
OchACat018,OchACat018.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.1118363
OchACat018,OchACat018.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.888065
OchACat018,OchACat018.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,9.86e-5
OchACat019,OchACat019.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0859396
OchACat019,OchACat019.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9139609
OchACat019,OchACat019.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,9.96e-5
OchACat020,OchACat020.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.09274959999999999
OchACat020,OchACat020.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9071505
OchACat020,OchACat020.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,1e-4
OchACat021,OchACat021.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.1114994
OchACat021,OchACat021.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.8821653
OchACat021,OchACat021.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,0.0063353
OchACat022,OchACat022.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.1074245
OchACat022,OchACat022.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.8894494
OchACat022,OchACat022.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,0.0031262
OchACat023,OchACat023.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0734178
OchACat023,OchACat023.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9262874
OchACat023,OchACat023.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,2.948e-4
OchACat024,OchACat024.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.10921900000000001
OchACat024,OchACat024.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.8616838
OchACat024,OchACat024.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,0.0290971
OchACat025,OchACat025.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.078574
OchACat025,OchACat025.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9204159
OchACat025,OchACat025.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,0.0010102
OchACat026,OchACat026.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.08048820000000001
OchACat026,OchACat026.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9194118
OchACat026,OchACat026.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,1e-4
OchACat027,OchACat027.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.07249
OchACat027,OchACat027.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9274101
OchACat027,OchACat027.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,1e-4
OchACat028,OchACat028.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0925623
OchACat028,OchACat028.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.907338
OchACat028,OchACat028.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,9.98e-5
OchACat029,OchACat029.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0831121
