sample_id,sample,era,location,prop_sum,max_prop,dominant_cluster,entropy,effective_clusters,admixedness
OchCBur079,OchCBur079.merged.rmdup.merged.realn.bam,Contemporary,Bur,0.9999998999999999,0.615737,K2,0.6679632927267692,1.9502611617816943,0.384263
OchCBur080,OchCBur080.merged.rmdup.merged.realn.bam,Contemporary,Bur,0.9999999,0.560412,K2,0.6877077538760511,1.9891506804216361,0.439588
OchCBur082,OchCBur082.merged.rmdup.merged.realn.bam,Contemporary,Bur,0.9999998999999999,0.5735074,K2,0.6841678246036583,1.9821216761299298,0.4264926
OchCBur083,OchCBur083.merged.rmdup.merged.realn.bam,Contemporary,Bur,0.9999998999999999,0.5876694,K1,0.6795537679455678,1.9729971212078417,0.4123306
OchCBur084,OchCBur084.merged.rmdup.merged.realn.bam,Contemporary,Bur,0.9999998999999999,0.6487514,K2,0.6913423290443814,1.9963935524989882,0.3512486
OchCBur086,OchCBur086.merged.rmdup.merged.realn.bam,Contemporary,Bur,0.9999999,0.5768459,K2,0.6831613551157241,1.9801277347304405,0.4231541
OchCBur087,OchCBur087.merged.rmdup.merged.realn.bam,Contemporary,Bur,1,0.6625516,K2,0.6831447072573991,1.980094770118843,0.3374484
OchCBur088,OchCBur088.merged.rmdup.merged.realn.bam,Contemporary,Bur,0.9999999,0.6305903,K2,0.6604836099934298,1.935728245599923,0.36940969999999995
OchCBur089,OchCBur089.merged.rmdup.merged.realn.bam,Contemporary,Bur,0.9999999,0.5192491,K2,0.6942981222678776,2.0023032085910306,0.4807509
OchCCat001,OchCCat001.merged.rmdup.merged.realn.bam,Contemporary,Cat,1,0.8062722,K2,0.6240629463710108,1.866496130746728,0.1937278
OchCCat002,OchCCat002.merged.rmdup.merged.realn.bam,Contemporary,Cat,1.0000001,0.4867595,K2,0.905133131590195,2.4722610371925002,0.5132405
OchCCat003,OchCCat003.merged.rmdup.merged.realn.bam,Contemporary,Cat,1,0.7610792,K2,0.7003233768098942,2.0144040136999237,0.23892080000000004
OchCCat004,OchCCat004.merged.rmdup.merged.realn.bam,Contemporary,Cat,1,0.628026,K1,0.8148994844625673,2.2589486015051055,0.371974
OchCCat005,OchCCat005.merged.rmdup.merged.realn.bam,Contemporary,Cat,0.9999999,0.5775498,K1,0.8557311665400511,2.3530942555259995,0.4224502
OchCCat006,OchCCat006.merged.rmdup.merged.realn.bam,Contemporary,Cat,0.9999998999999999,0.516582,K1,0.8636727486902483,2.371855947014302,0.483418
