sample_id,sample,era,location,n_clusters,prop_sum,prop_sum_diff
OchACat038,OchACat038.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,4,1,0
OchACat039,OchACat039.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,4,1,0
OchACat040,OchACat040.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,4,1,0
OchACat041,OchACat041.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,4,0.9999999,-9.999999994736442e-8
OchATum001,OchATum001.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,1,0
OchATum002,OchATum002.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,1,0
OchATum003,OchATum003.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,0.9999998999999999,-1.0000000005838672e-7
OchATum004,OchATum004.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,1,0
OchATum005,OchATum005.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,1,0
OchATum006,OchATum006.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,0.9999999,-9.999999994736442e-8
OchATum007,OchATum007.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,1.0000001,1.0000000005838672e-7
OchATum008,OchATum008.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,0.9999998999999999,-1.0000000005838672e-7
OchATum009,OchATum009.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,1,0
OchATum010,OchATum010.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,1,0
OchATum011,OchATum011.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,1,0
OchATum012,OchATum012.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,1,0
OchATum013,OchATum013.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,1.0000001,1.0000000005838672e-7
OchATum014,OchATum014.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,1,0
OchATum015,OchATum015.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,1,0
OchATum016,OchATum016.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,1.0000001,1.0000000005838672e-7
OchATum017,OchATum017.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,0.9999999,-9.999999994736442e-8
OchATum018,OchATum018.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,1,0
OchATum019,OchATum019.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,1.0000001,1.0000000005838672e-7
OchATum020,OchATum020.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,1.0000001,1.0000000005838672e-7
OchATum021,OchATum021.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,1.0000001,1.0000000005838672e-7
OchATum022,OchATum022.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,0.9999999,-9.999999994736442e-8
OchATum023,OchATum023.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,1,0
OchATum024,OchATum024.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,1,0
OchATum025,OchATum025.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,0.9999999999999999,-1.1102230246251565e-16
OchATum026,OchATum026.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,0.9999999,-9.999999994736442e-8
OchATum027,OchATum027.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,1.0000001,1.0000000005838672e-7
OchATum028,OchATum028.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,1,0
OchATum029,OchATum029.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,1,0
OchATum030,OchATum030.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,0.9999998999999999,-1.0000000005838672e-7
OchATum031,OchATum031.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,0.9999998999999999,-1.0000000005838672e-7
OchATum032,OchATum032.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,1,0
OchATum033,OchATum033.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,1.0000001,1.0000000005838672e-7
OchATum034,OchATum034.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,0.9999999,-9.999999994736442e-8
